Species,Strain,ftsZ,gltA,nuoG,rpoB,ITS,Reference
*Bartonella acomydis*,KS2-1,AB602545,AB444979,,AB529942,AB602563,
*Bartonella alsatica*,IBS382,NZ_JH725020,NZ_JH725020,NZ_JH725020,NZ_JH725020,AF312506,
*Bartonella ancashensis*,20.00,NZ_CP010401,NZ_CP010401,NZ_CP010401,NZ_CP010401,KP720644,
*Bartonella antechini*,MU1-F19,GU168958,GU168962,,GU168961,GU168959,
*Bartonella apis*,PEB0122,NZ_LXYU00000000,NZ_LXYU00000000,NZ_LXYU00000000,NZ_LXYU00000000,NZ_LXYU00000000,
*Bartonella australis*,Aust-NH1,NC_020300,NC_020300,NC_020300,NC_020300,DQ538396,
*Bartonella bacilliformis*,Ver097,NZ_KL503805,NZ_KL503803,NZ_KL503804,NZ_KL503803,DQ200883,
*Bartonella bandicootii*,BA1,HQ444163,HQ444165,,HQ444164,HQ444162,
*Bartonella birtlesii*,IBS325,NZ_CM001557,NZ_CM001557,NZ_CM001557,NZ_CM001557,AY116640,
*Bartonella bovis*,91-4,NZ_CM001844,NZ_CM001844,NZ_CM001844,NZ_CM001844,KM371094,
*Bartonella callosciuri*,BR1-1,AB602541,AB444977,,AB529929,AB602559,
*Bartonella capreoli*,IBS193,AB290192,AF293392,,AB290188,AB498009,
*Bartonella chomelii*,A828,KM215688,KM215690,KM215699,KM215705,KM215713,
*Bartonella clarridgeiae*,ATCC51734,NZ_JADC01000017,NZ_JADC01000010,NZ_JADC01000010,NZ_JADC01000010,AF312497,
*Bartonella coopersplainsensis*,AUST-NH20,EU111781,EU111803,,EU111792,EU111770,
*Bartonella davousti*,BvS14,KU859898,KU859878,,KU859888,KU859908,
*Bartonella doshiae*,NCTC12862,NZ_JH725095,NZ_JH725094,NZ_JH725094,NZ_JH725094,AF442954,
*Bartonella elizabethae*,F9251,NZ_JH725034,NZ_JH725033,NZ_JH725033,NZ_JH725033,L35103,
*Bartonella florenciae*,R4,NZ_HE997451,NZ_HE997451,NZ_HE997451,NZ_HE997451,HM622140,
*Bartonella grahamii*,as4aup,NC_012846,NC_012846,NC_012846,NC_012846,JN810847,
*Bartonella henselae*,Houston-1,NC_005956,NC_005956,NC_005956,NC_005956,L35101,
*Bartonella jaculi*,OY2-1,AB602539,AB444975,,AB529934,AB602557,
*Bartonella japonica*,Fuji_18-1,AB440633,AB242289,,AB242288,AB498007,
*Bartonella koehlerae*,C-29,NZ_KL407334,NZ_KL407334,NZ_KL407334,NZ_KL407334,AF312490,
*Bartonella lascolai*,C102,KP715476,KP715477,,,KP715478,[@Davoust2016]
*Bartonella mastomydis*,205-2,,KR107234,,KP997021,KT895985,
*Bartonella mayotimonensis*,EYL-2008,FJ376734,FJ376732,,FJ376736,FJ376735,[@Lin2010]
*Bartonella melophagi*,K-2C,NZ_JH725081,NZ_JH725083,NZ_JH725082,NZ_JH725083,JF834886,
*Bartonella pachyuromydis*,FN15-2,AB602543,AB444978,,AB602555,AB602561,
*Bartonella phoceensis*,16120,AY515135,AY515126,,AY515132,AY515123,
*Bartonella queenslandensis*,AUST-NH15,NZ_HE997987,NZ_HE998003,NZ_HE997985,NZ_HE998003,EU111769,
*Bartonella quintana*,Toulouse,NC_005955,NC_005955,NC_005955,NC_005955,L35100,
*Bartonella rattaustraliani*,AUST-NH4,NZ_CALW02000009,NZ_CALW02000061,NZ_CALW02000050,NZ_CALW02000063,EU111760,
*Bartonella rattimassiliensis*,15908,NZ_JH725069,NZ_JH725064,NZ_JH725064,NZ_JH725065,AY515121,
